00_intro.mp3: 152.28초
01_prehistory_ancient_hall.mp3: 134.28초
02_paleolithic_handaxe.mp3: 232.37초
03_paleolithic_hominid.mp3: 219.34초
04_neolithic_needle_spindle.mp3: 163.73초
05_neolithic_gosanri_pottery.mp3: 200.40초
06_neolithic_gadeokdo_bones.mp3: 223.49초
07_bronze_plain_pottery.mp3: 179.62초
08_bronze_farming_tool.mp3: 197.93초
09_gojoseon_bronze_dagger.mp3: 194.62초
10_gojoseon_wooden_coffin.mp3: 165.53초
11_goguryeo_gilt_bronze_crown.mp3: 138.94초
12_goguryeo_roof_tile.mp3: 154.80초
13_goguryeo_gwanggaeto_stele.mp3: 219.96초
14_goguryeo_scale_armor.mp3: 229.39초
15_goguryeo_buddha_statue.mp3: 229.18초
16_baekje_chimi.mp3: 169.73초
17_baekje_crown_ornament.mp3: 156.58초
18_baekje_incense_burner.mp3: 187.92초
19_gaya_iron_ingot.mp3: 168.60초
20_gaya_armor_helm.mp3: 237.55초
21_silla_gold_crown_belt.mp3: 238.49초
22_silla_glass_bottle.mp3: 212.26초
23_unified_silla_heavenly_kings.mp3: 258.12초
24_unified_silla_eight_guardians.mp3: 174.58초
25_balhae_two_buddhas.mp3: 155.50초
26_medieval_modern_hall.mp3: 156.77초
27_goryeo_injong_title.mp3: 195.65초
28_goryeo_celadon_boat.mp3: 131.16초
29_goryeo_princess_epitaph.mp3: 201.34초
30_goryeo_tripitaka.mp3: 252.96초
31_goryeo_seated_bodhisattva.mp3: 201.65초
32_goryeo_jeongmongju_portrait.mp3: 167.76초
33_joseon_taejo_portrait.mp3: 173.38초
34_joseon_king_chair.mp3: 205.13초
35_joseon_star_map.mp3: 148.78초
36_joseon_yongbieocheonga.mp3: 177.77초
37_joseon_rain_gauge.mp3: 172.73초
38_joseon_moon_jar.mp3: 205.20초
39_joseon_donguibogam.mp3: 164.45초
40_joseon_hwaseong_records.mp3: 177.70초
41_joseon_daedongyeojido.mp3: 185.14초
42_gojong_portrait.mp3: 215.33초
43_korea_and_neighbors.mp3: 223.73초
44_closing.mp3: 125.04초

총 길이: 8476.78초 (141.28분)
